Contrato,Predicao_Fraude,Valor_Renda,QT_Dias_Atraso,Total_Pago
322070062715,0,1200.0,,5336.47
322070063715,1,2000.0,251.0,2139.23
322070065715,1,2900.0,406.0,315.65
322070066715,0,1600.0,,5000.15
322070067715,0,3000.0,103.0,3635.22
322070070715,0,1400.0,11.0,5614.98
322070071715,0,2000.0,11.0,2769.21
322070072715,0,2000.0,103.0,5622.76
322070073715,1,5000.0,344.0,3071.25
322070074715,1,2800.0,194.0,3107.68
322070076715,1,2000.0,225.0,2259.74
322070079715,1,2000.0,251.0,2145.56
322070080715,1,4000.0,225.0,6981.91
322070084715,0,1800.0,,5360.17
322070085715,0,3000.0,,2532.49
322070088715,0,1800.0,,4182.83
322070089715,0,5000.0,284.0,5335.0
322070090715,1,3800.0,251.0,7090.74
322070093715,0,3200.0,,9633.15
322070094715,0,1400.0,71.0,4535.39
322070095715,1,3000.0,406.0,495.71
322070096715,0,1800.0,,6033.15
322070097715,0,2200.0,,5314.13
322070098715,1,1400.0,315.0,1065.0
322070100715,0,5000.0,71.0,12043.77
322070102715,0,2800.0,,4393.17
322070103715,1,1900.0,406.0,355.0
322070104715,0,8000.0,,50389.6
322070106715,1,2600.0,344.0,965.31
322070110715,0,9400.0,,7851.22
322070111715,1,1400.0,406.0,177.77
322070114715,0,3000.0,,7407.86
322070115715,1,6500.0,225.0,2286.25
322070116715,0,2500.0,,5373.62
322070117715,1,3000.0,251.0,2583.66
322070118715,0,7500.0,11.0,35000.0
322070121715,1,2900.0,376.0,1107.3
322070122715,0,5400.0,41.0,3564.4
322070124715,0,10000.0,,5465.61
322070128715,1,3500.0,406.0,210.43
322070131715,1,1700.0,315.0,1222.72
322070133715,0,2000.0,,5184.42
322070134715,0,2300.0,,9175.21
322070146715,0,2000.0,,20159.88
322070148715,1,6827.0,406.0,166.66
322070151715,0,1200.0,,28728.67
322070152715,0,15000.0,251.0,17808.66
322070156715,1,1830.0,406.0,317.5
322070173715,0,3800.0,,26447.89
322070176715,0,10000.0,,24983.65
322070178715,1,5000.0,406.0,416.67
322070181715,0,3500.0,,11387.94
322070182715,0,2000.0,,3873.02
322070186715,0,3000.0,,21819.24
322070187715,1,8000.0,406.0,621.2
322070188715,0,2000.0,,9255.76
322070190715,0,3000.0,,40530.72
322070191715,1,2500.0,406.0,423.5
322070194715,0,7000.0,11.0,9848.49
322070199715,0,3000.0,11.0,2174.9
322070201715,0,10000.0,,19876.4
322070207715,1,2500.0,406.0,430.61
322070208715,1,7500.0,194.0,6269.48
322070211715,1,4000.0,406.0,846.0
322070216715,0,5000.0,,16186.26
322070217715,0,2400.0,,9255.76
322070219715,1,3000.0,376.0,1617.36
322070220715,1,6390.0,376.0,1181.79
322070222715,1,11800.0,251.0,8186.66
322070226715,1,3000.0,376.0,818.84
322070227715,0,6000.0,,11154.89
322070228715,1,1200.0,344.0,857.25
322070230715,0,3359.0,,5026.77
322070231715,0,5000.0,,188569.41
322070233715,1,15000.0,376.0,333.32
322070237715,0,1300.0,162.0,3194.26
322070239715,1,1600.0,406.0,332.66
322070240715,1,3100.0,406.0,382.12
322070241715,0,10000.0,,9347.12
322070242715,0,1200.0,11.0,5446.34
322070243715,1,3700.0,225.0,3698.58
322070244715,0,5900.0,11.0,17710.34
322070246715,1,3100.0,406.0,375.33
322070247715,1,4000.0,376.0,289.45
322070248715,1,1700.0,406.0,426.0
322070249715,0,3000.0,,3229.19
322070250715,1,2600.0,376.0,750.66
322070251715,1,2000.0,315.0,1420.0
322070253715,1,1312.0,406.0,315.65
322070254715,0,2000.0,,12847.27
322070255715,0,19000.0,,29396.66
322070256715,0,4000.0,,4640.98
322070259715,0,1500.0,,2536.27
322070261715,0,2500.0,,7282.31
322070262715,0,10000.0,,6653.25
322070263715,0,6000.0,,41551.43
322070265715,1,1700.0,344.0,1640.64
322070268715,1,5000.0,376.0,1692.0
322070269715,1,4000.0,406.0,368.3
322070270715,0,5000.0,41.0,13460.01
322070271715,0,1700.0,41.0,5884.65
322070272715,1,1700.0,435.0,0.0
322070273715,1,5300.0,315.0,2446.98
322070274715,1,5000.0,225.0,2485.0
322070275715,1,3000.0,344.0,1098.65
322070276715,0,11000.0,,9716.81
322070277715,0,6000.0,,34995.08
322070278715,1,3500.0,284.0,3361.01
